# this is a map:
# type, action, material, direction = file, sequence index, start, duration
*,*,*,*=10, 0, 0, 1
BEARER, WALKING, NO_MATERIAL, SOUTH_WEST = 10, 0,  0, 12
BEARER, WALKING, NO_MATERIAL, WEST       = 10, 0, 12, 12
BEARER, WALKING, NO_MATERIAL, NORTH_WEST = 10, 0, 24, 12
BEARER, WALKING, NO_MATERIAL, NORTH_EAST = 10, 0, 36, 12
BEARER, WALKING, NO_MATERIAL, EAST       = 10, 0, 48, 12
BEARER, WALKING, NO_MATERIAL, SOUTH_EAST = 10, 0, 60, 12
BEARER, WALKING, PLANK, SOUTH_WEST = 10, 1, 0, 12
BEARER, WALKING, PLANK, WEST       = 10, 1, 12, 12
BEARER, WALKING, PLANK, NORTH_WEST = 10, 1, 24, 12
BEARER, WALKING, PLANK, NORTH_EAST = 10, 1, 36, 12
BEARER, WALKING, PLANK, EAST       = 10, 1, 48, 12
BEARER, WALKING, PLANK, SOUTH_EAST = 10, 1, 60, 12
BEARER, WALKING, STONE, SOUTH_WEST = 10, 2, 0, 12
BEARER, WALKING, STONE, WEST       = 10, 2, 12, 12
BEARER, WALKING, STONE, NORTH_WEST = 10, 2, 24, 12
BEARER, WALKING, STONE, NORTH_EAST = 10, 2, 36, 12
BEARER, WALKING, STONE, EAST       = 10, 2, 48, 12
BEARER, WALKING, STONE, SOUTH_EAST = 10, 2, 60, 12
BEARER, WALKING, PIG, SOUTH_WEST = 10, 3, 0, 12
BEARER, WALKING, PIG, WEST       = 10, 3, 12, 12
BEARER, WALKING, PIG, NORTH_WEST = 10, 3, 24, 12
BEARER, WALKING, PIG, NORTH_EAST = 10, 3, 36, 12
BEARER, WALKING, PIG, EAST       = 10, 3, 48, 12
BEARER, WALKING, PIG, SOUTH_EAST = 10, 3, 60, 12
BEARER, WALKING, TRUNK, SOUTH_WEST = 10, 4, 0, 12
BEARER, WALKING, TRUNK, WEST       = 10, 4, 12, 12
BEARER, WALKING, TRUNK, NORTH_WEST = 10, 4, 24, 12
BEARER, WALKING, TRUNK, NORTH_EAST = 10, 4, 36, 12
BEARER, WALKING, TRUNK, EAST       = 10, 4, 48, 12
BEARER, WALKING, TRUNK, SOUTH_EAST = 10, 4, 60, 12
BEARER, WALKING, BREAD, SOUTH_WEST = 10, 5, 0, 12
BEARER, WALKING, BREAD, WEST       = 10, 5, 12, 12
BEARER, WALKING, BREAD, NORTH_WEST = 10, 5, 24, 12
BEARER, WALKING, BREAD, NORTH_EAST = 10, 5, 36, 12
BEARER, WALKING, BREAD, EAST       = 10, 5, 48, 12
BEARER, WALKING, BREAD, SOUTH_EAST = 10, 5, 60, 12
BEARER, WALKING, COAL, SOUTH_WEST = 10, 6, 0, 12
BEARER, WALKING, COAL, WEST       = 10, 6, 12, 12
BEARER, WALKING, COAL, NORTH_WEST = 10, 6, 24, 12
BEARER, WALKING, COAL, NORTH_EAST = 10, 6, 36, 12
BEARER, WALKING, COAL, EAST       = 10, 6, 48, 12
BEARER, WALKING, COAL, SOUTH_EAST = 10, 6, 60, 12
BEARER, WALKING, GOLDORE, SOUTH_WEST = 10, 7, 0, 12
BEARER, WALKING, GOLDORE, WEST       = 10, 7, 12, 12
BEARER, WALKING, GOLDORE, NORTH_WEST = 10, 7, 24, 12
BEARER, WALKING, GOLDORE, NORTH_EAST = 10, 7, 36, 12
BEARER, WALKING, GOLDORE, EAST       = 10, 7, 48, 12
BEARER, WALKING, GOLDORE, SOUTH_EAST = 10, 7, 60, 12
BEARER, WALKING, IRONORE, SOUTH_WEST = 10, 8, 0, 12
BEARER, WALKING, IRONORE, WEST       = 10, 8, 12, 12
BEARER, WALKING, IRONORE, NORTH_WEST = 10, 8, 24, 12
BEARER, WALKING, IRONORE, NORTH_EAST = 10, 8, 36, 12
BEARER, WALKING, IRONORE, EAST       = 10, 8, 48, 12
BEARER, WALKING, IRONORE, SOUTH_EAST = 10, 8, 60, 12
BEARER, WALKING, FISH, SOUTH_WEST = 10, 9, 0, 12
BEARER, WALKING, FISH, WEST       = 10, 9, 12, 12
BEARER, WALKING, FISH, NORTH_WEST = 10, 9, 24, 12
BEARER, WALKING, FISH, NORTH_EAST = 10, 9, 36, 12
BEARER, WALKING, FISH, EAST       = 10, 9, 48, 12
BEARER, WALKING, FISH, SOUTH_EAST = 10, 9, 60, 12
BEARER, WALKING, MEAT, SOUTH_WEST = 10, 10, 0, 12
BEARER, WALKING, MEAT, WEST       = 10, 10, 12, 12
BEARER, WALKING, MEAT, NORTH_WEST = 10, 10, 24, 12
BEARER, WALKING, MEAT, NORTH_EAST = 10, 10, 36, 12
BEARER, WALKING, MEAT, EAST       = 10, 10, 48, 12
BEARER, WALKING, MEAT, SOUTH_EAST = 10, 10, 60, 12
BEARER, WALKING, CROP, SOUTH_WEST = 10, 11, 0, 12
BEARER, WALKING, CROP, WEST       = 10, 11, 12, 12
BEARER, WALKING, CROP, NORTH_WEST = 10, 11, 24, 12
BEARER, WALKING, CROP, NORTH_EAST = 10, 11, 36, 12
BEARER, WALKING, CROP, EAST       = 10, 11, 48, 12
BEARER, WALKING, CROP, SOUTH_EAST = 10, 11, 60, 12
BEARER, WALKING, FLOUR, SOUTH_WEST = 10, 12, 0, 12
BEARER, WALKING, FLOUR, WEST       = 10, 12, 12, 12
BEARER, WALKING, FLOUR, NORTH_WEST = 10, 12, 24, 12
BEARER, WALKING, FLOUR, NORTH_EAST = 10, 12, 36, 12
BEARER, WALKING, FLOUR, EAST       = 10, 12, 48, 12
BEARER, WALKING, FLOUR, SOUTH_EAST = 10, 12, 60, 12
BEARER, WALKING, IRON, SOUTH_WEST = 10, 13, 0, 12
BEARER, WALKING, IRON, WEST       = 10, 13, 12, 12
BEARER, WALKING, IRON, NORTH_WEST = 10, 13, 24, 12
BEARER, WALKING, IRON, NORTH_EAST = 10, 13, 36, 12
BEARER, WALKING, IRON, EAST       = 10, 13, 48, 12
BEARER, WALKING, IRON, SOUTH_EAST = 10, 13, 60, 12
BEARER, WALKING, GOLD, SOUTH_WEST = 10, 14, 0, 12
BEARER, WALKING, GOLD, WEST       = 10, 14, 12, 12
BEARER, WALKING, GOLD, NORTH_WEST = 10, 14, 24, 12
BEARER, WALKING, GOLD, NORTH_EAST = 10, 14, 36, 12
BEARER, WALKING, GOLD, EAST       = 10, 14, 48, 12
BEARER, WALKING, GOLD, SOUTH_EAST = 10, 14, 60, 12
BEARER, WALKING, WATER, SOUTH_WEST = 10, 15, 0, 12
BEARER, WALKING, WATER, WEST       = 10, 15, 12, 12
BEARER, WALKING, WATER, NORTH_WEST = 10, 15, 24, 12
BEARER, WALKING, WATER, NORTH_EAST = 10, 15, 36, 12
BEARER, WALKING, WATER, EAST       = 10, 15, 48, 12
BEARER, WALKING, WATER, SOUTH_EAST = 10, 15, 60, 12
BEARER, WALKING, HAMMER, SOUTH_WEST = 10, 16, 0, 12
BEARER, WALKING, HAMMER, WEST       = 10, 16, 12, 12
BEARER, WALKING, HAMMER, NORTH_WEST = 10, 16, 24, 12
BEARER, WALKING, HAMMER, NORTH_EAST = 10, 16, 36, 12
BEARER, WALKING, HAMMER, EAST       = 10, 16, 48, 12
BEARER, WALKING, HAMMER, SOUTH_EAST = 10, 16, 60, 12
BEARER, WALKING, PICK, SOUTH_WEST = 10, 17, 0, 12
BEARER, WALKING, PICK, WEST       = 10, 17, 12, 12
BEARER, WALKING, PICK, NORTH_WEST = 10, 17, 24, 12
BEARER, WALKING, PICK, NORTH_EAST = 10, 17, 36, 12
BEARER, WALKING, PICK, EAST       = 10, 17, 48, 12
BEARER, WALKING, PICK, SOUTH_EAST = 10, 17, 60, 12
BEARER, WALKING, FISHINGROD, SOUTH_WEST = 10, 18, 0, 12
BEARER, WALKING, FISHINGROD, WEST       = 10, 18, 12, 12
BEARER, WALKING, FISHINGROD, NORTH_WEST = 10, 18, 24, 12
BEARER, WALKING, FISHINGROD, NORTH_EAST = 10, 18, 36, 12
BEARER, WALKING, FISHINGROD, EAST       = 10, 18, 48, 12
BEARER, WALKING, FISHINGROD, SOUTH_EAST = 10, 18, 60, 12
BEARER, WALKING, SCYTHE, SOUTH_WEST = 10, 19, 0, 12
BEARER, WALKING, SCYTHE, WEST       = 10, 19, 12, 12
BEARER, WALKING, SCYTHE, NORTH_WEST = 10, 19, 24, 12
BEARER, WALKING, SCYTHE, NORTH_EAST = 10, 19, 36, 12
BEARER, WALKING, SCYTHE, EAST       = 10, 19, 48, 12
BEARER, WALKING, SCYTHE, SOUTH_EAST = 10, 19, 60, 12
BEARER, WALKING, SAW, SOUTH_WEST = 10, 20, 0, 12
BEARER, WALKING, SAW, WEST       = 10, 20, 12, 12
BEARER, WALKING, SAW, NORTH_WEST = 10, 20, 24, 12
BEARER, WALKING, SAW, NORTH_EAST = 10, 20, 36, 12
BEARER, WALKING, SAW, EAST       = 10, 20, 48, 12
BEARER, WALKING, SAW, SOUTH_EAST = 10, 20, 60, 12
BEARER, WALKING, BLADE, SOUTH_WEST = 10, 21, 0, 12
BEARER, WALKING, BLADE, WEST       = 10, 21, 12, 12
BEARER, WALKING, BLADE, NORTH_WEST = 10, 21, 24, 12
BEARER, WALKING, BLADE, NORTH_EAST = 10, 21, 36, 12
BEARER, WALKING, BLADE, EAST       = 10, 21, 48, 12
BEARER, WALKING, BLADE, SOUTH_EAST = 10, 21, 60, 12
BEARER, WALKING, BOW, SOUTH_WEST = 10, 22, 0, 12
BEARER, WALKING, BOW, WEST       = 10, 22, 12, 12
BEARER, WALKING, BOW, NORTH_WEST = 10, 22, 24, 12
BEARER, WALKING, BOW, NORTH_EAST = 10, 22, 36, 12
BEARER, WALKING, BOW, EAST       = 10, 22, 48, 12
BEARER, WALKING, BOW, SOUTH_EAST = 10, 22, 60, 12
BEARER, WALKING, SPEAR, SOUTH_WEST = 10, 23, 0, 12
BEARER, WALKING, SPEAR, WEST       = 10, 23, 12, 12
BEARER, WALKING, SPEAR, NORTH_WEST = 10, 23, 24, 12
