# this is a map:
# type, action, material, direction = file, sequence index, start, duration
# See 

*,*,*,*=10, 0, 0, 1

###
# BEARER movables start
###
BEARER, WALKING, NO_MATERIAL, SOUTH_WEST = 10, 0,  0, 12
BEARER, WALKING, NO_MATERIAL, WEST       = 10, 0, 12, 12
BEARER, WALKING, NO_MATERIAL, NORTH_WEST = 10, 0, 24, 12
BEARER, WALKING, NO_MATERIAL, NORTH_EAST = 10, 0, 36, 12
BEARER, WALKING, NO_MATERIAL, EAST       = 10, 0, 48, 12
BEARER, WALKING, NO_MATERIAL, SOUTH_EAST = 10, 0, 60, 12
BEARER, WALKING, PLANK, SOUTH_WEST = 10, 1,  0, 12
BEARER, WALKING, PLANK, WEST       = 10, 1, 12, 12
BEARER, WALKING, PLANK, NORTH_WEST = 10, 1, 24, 12
BEARER, WALKING, PLANK, NORTH_EAST = 10, 1, 36, 12
BEARER, WALKING, PLANK, EAST       = 10, 1, 48, 12
BEARER, WALKING, PLANK, SOUTH_EAST = 10, 1, 60, 12
BEARER, WALKING, STONE, SOUTH_WEST = 10, 2,  0, 12
BEARER, WALKING, STONE, WEST       = 10, 2, 12, 12
BEARER, WALKING, STONE, NORTH_WEST = 10, 2, 24, 12
BEARER, WALKING, STONE, NORTH_EAST = 10, 2, 36, 12
BEARER, WALKING, STONE, EAST       = 10, 2, 48, 12
BEARER, WALKING, STONE, SOUTH_EAST = 10, 2, 60, 12
BEARER, WALKING, PIG, SOUTH_WEST = 10, 3,  0, 12
BEARER, WALKING, PIG, WEST       = 10, 3, 12, 12
BEARER, WALKING, PIG, NORTH_WEST = 10, 3, 24, 12
BEARER, WALKING, PIG, NORTH_EAST = 10, 3, 36, 12
BEARER, WALKING, PIG, EAST       = 10, 3, 48, 12
BEARER, WALKING, PIG, SOUTH_EAST = 10, 3, 60, 12
BEARER, WALKING, TRUNK, SOUTH_WEST = 10, 4,  0, 12
BEARER, WALKING, TRUNK, WEST       = 10, 4, 12, 12
BEARER, WALKING, TRUNK, NORTH_WEST = 10, 4, 24, 12
BEARER, WALKING, TRUNK, NORTH_EAST = 10, 4, 36, 12
BEARER, WALKING, TRUNK, EAST       = 10, 4, 48, 12
BEARER, WALKING, TRUNK, SOUTH_EAST = 10, 4, 60, 12
BEARER, WALKING, BREAD, SOUTH_WEST = 10, 5,  0, 12
BEARER, WALKING, BREAD, WEST       = 10, 5, 12, 12
BEARER, WALKING, BREAD, NORTH_WEST = 10, 5, 24, 12
BEARER, WALKING, BREAD, NORTH_EAST = 10, 5, 36, 12
BEARER, WALKING, BREAD, EAST       = 10, 5, 48, 12
BEARER, WALKING, BREAD, SOUTH_EAST = 10, 5, 60, 12
BEARER, WALKING, COAL, SOUTH_WEST = 10, 6,  0, 12
BEARER, WALKING, COAL, WEST       = 10, 6, 12, 12
BEARER, WALKING, COAL, NORTH_WEST = 10, 6, 24, 12
BEARER, WALKING, COAL, NORTH_EAST = 10, 6, 36, 12
BEARER, WALKING, COAL, EAST       = 10, 6, 48, 12
BEARER, WALKING, COAL, SOUTH_EAST = 10, 6, 60, 12
BEARER, WALKING, GOLDORE, SOUTH_WEST = 10, 7,  0, 12
